segment_code,english_name,source
281,Judea & Samaria,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
471,Be'er Sheva,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
405,Ashqelon,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
117,Holon,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
132,Gan,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
218,Tel Aviv,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
362,Rehovot,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
260,Ramla,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
230,Petah Tiqwa,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
143,Sharon,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
323,Hadera,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
551,Haifa,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
481,Akko,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
421,Yizre'el,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
200,"Zefat, Kinneret & Golan","CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
883,Jerusalem,"CBS Table 10, Row 8 (English names) matched to Row 10 (column positions)"
